IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"3.167.240.101","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.160","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.96","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.164","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.110","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.175","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.102","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.180","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.107","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.181","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
"3.167.240.104","*.cloudfront.net","","","","","cloudfront.net|*.cloudfront.net","","false"
